2026-06-04 11:26:12,441 | INFO | logger | Logger initialized successfully
2026-06-04 11:26:12,554 | INFO | app | All blueprints registered successfully
2026-06-04 11:26:12,556 | INFO | app | Starting Complaint Management Platform...
2026-06-04 11:26:12,556 | INFO | app | Swagger UI available at: http://127.0.0.1:5000/docs
2026-06-04 11:26:12,637 | INFO | _internal | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-06-04 11:26:12,637 | INFO | _internal | [33mPress CTRL+C to quit[0m
2026-06-04 11:26:12,639 | INFO | _internal |  * Restarting with stat
2026-06-04 11:26:13,237 | INFO | logger | Logger initialized successfully
2026-06-04 11:26:13,285 | INFO | app | All blueprints registered successfully
2026-06-04 11:26:13,287 | INFO | app | Starting Complaint Management Platform...
2026-06-04 11:26:13,287 | INFO | app | Swagger UI available at: http://127.0.0.1:5000/docs
2026-06-04 11:26:13,306 | WARNING | _internal |  * Debugger is active!
2026-06-04 11:26:13,310 | INFO | _internal |  * Debugger PIN: 191-868-612
2026-06-04 11:44:14,287 | WARNING | app | 404 - Route not found
2026-06-04 11:44:14,302 | INFO | _internal | 127.0.0.1 - - [04/Jun/2026 11:44:14] "[33mOPTIONS /api/auth/register HTTP/1.1[0m" 404 -
2026-06-04 11:44:38,525 | WARNING | app | 404 - Route not found
2026-06-04 11:44:38,527 | INFO | _internal | 127.0.0.1 - - [04/Jun/2026 11:44:38] "[33mOPTIONS /api/auth/register HTTP/1.1[0m" 404 -
2026-06-04 11:44:40,017 | WARNING | app | 404 - Route not found
2026-06-04 11:44:40,019 | INFO | _internal | 127.0.0.1 - - [04/Jun/2026 11:44:40] "[33mOPTIONS /api/auth/register HTTP/1.1[0m" 404 -
2026-06-04 11:44:40,229 | WARNING | app | 404 - Route not found
2026-06-04 11:44:40,231 | INFO | _internal | 127.0.0.1 - - [04/Jun/2026 11:44:40] "[33mOPTIONS /api/auth/register HTTP/1.1[0m" 404 -
2026-06-04 11:44:40,455 | WARNING | app | 404 - Route not found
2026-06-04 11:44:40,461 | INFO | _internal | 127.0.0.1 - - [04/Jun/2026 11:44:40] "[33mOPTIONS /api/auth/register HTTP/1.1[0m" 404 -
2026-06-04 11:45:01,731 | INFO | logger | Logger initialized successfully
2026-06-04 11:45:01,822 | INFO | app | All blueprints registered successfully
2026-06-04 11:45:01,824 | INFO | app | Starting Complaint Management Platform...
2026-06-04 11:45:01,825 | INFO | app | Swagger UI available at: http://127.0.0.1:5000/docs
2026-06-04 11:45:01,901 | INFO | _internal | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-06-04 11:45:01,901 | INFO | _internal | [33mPress CTRL+C to quit[0m
2026-06-04 11:45:01,904 | INFO | _internal |  * Restarting with stat
2026-06-04 11:45:02,719 | INFO | logger | Logger initialized successfully
2026-06-04 11:45:02,767 | INFO | app | All blueprints registered successfully
2026-06-04 11:45:02,768 | INFO | app | Starting Complaint Management Platform...
2026-06-04 11:45:02,768 | INFO | app | Swagger UI available at: http://127.0.0.1:5000/docs
